ID,Title,URLs,"Date Uploaded","Media Type"
1325,ci-tinazzi-amarone-della-valpolicella-selezione-di-famiglia,https://www.huyhoangcenter.com/wp-content/uploads/2021/05/ci-tinazzi-amarone-della-valpolicella-selezione-di-famiglia.png,"Tháng Năm 12, 2021",image/png
1323,"weingut hauser",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/weingut-hauser.jpg,"Tháng Năm 12, 2021",image/jpeg
1322,"Vin Santo Villa Vetrice-Italia",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/Vin-Santo-Villa-Vetrice-Italia.jpg,"Tháng Năm 12, 2021",image/jpeg
1321,"ventoux domaine la capouillere",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/ventoux-domaine-la-capouillere.jpg,"Tháng Năm 12, 2021",image/jpeg
1320,"veltliner friends",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/veltliner-friends.jpg,"Tháng Năm 12, 2021",image/jpeg
1319,"veGA 18%vol. &#8211; Negroamaro e",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/veGA-18vol.-Negroamaro-e.jpg,"Tháng Năm 12, 2021",image/jpeg
1318,"Varvaglione 12emezzo ROSATO",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/Varvaglione-12emezzo-ROSATO.jpg,"Tháng Năm 12, 2021",image/jpeg
1317,"Tierras Moradas CARMENERE",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/Tierras-Moradas-CARMENERE.jpg,"Tháng Năm 12, 2021",image/jpeg
1316,"thill auxerrois 2007 12.5vol",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/thill-auxerrois-2007-12.5vol.jpg,"Tháng Năm 12, 2021",image/jpeg
1315,"Tertre Du Moulin Cuvée Millésim",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/Tertre-Du-Moulin-Cuvee-Millesim.jpg,"Tháng Năm 12, 2021",image/jpeg
1314,"Stellario Chianti Rufina-Italia",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/Stellario-Chianti-Rufina-Italia.png,"Tháng Năm 12, 2021",image/png
1313,"Slamove Vino Ryzlink 9,5%vol.",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/Slamove-Vino-Ryzlink-95vol..jpg,"Tháng Năm 12, 2021",image/jpeg
1312,"Siaurac 2013 Lalande de POME",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/Siaurac-2013-Lalande-de-POME.png,"Tháng Năm 12, 2021",image/png
1311,"Ser Lapo Chianti Classico DOCG",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/Ser-Lapo-Chianti-Classico-DOCG.png,"Tháng Năm 12, 2021",image/png
1310,"Senailhac Chateau-Bordeaux-Fr",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/Senailhac-Chateau-Bordeaux-Fr.jpg,"Tháng Năm 12, 2021",image/jpeg
1309,"Sekt Bacio Gold edition",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/Sekt-Bacio-Gold-edition.jpg,"Tháng Năm 12, 2021",image/jpeg
1308,"Saugvinon VnS PS Bílé Suché",https://www.huyhoangcenter.com/wp-content/uploads/2021/05/Saugvinon-VnS-PS-Bile-Suche.jpg,"Tháng Năm 12, 2021",image/jpeg
